company,number,symbol,ytd_return
Dominion Energy,179,D,14.09
Consolidated Edison,180,ED,14.00
Fox Corporation (Class B),181,FOX,13.93
Eaton Corporation,182,ETN,13.81
CSX Corporation,183,CSX,13.63
Realty Income,184,O,13.54
Trane Technologies,185,TT,13.27
Hartford (The),186,HIG,13.21
PulteGroup,187,PHM,13.20
BlackRock,188,BLK,13.16
Kroger,189,KR,13.08
Genuine Parts Company,190,GPC,12.89
Baker Hughes,191,BKR,12.82
CMS Energy,192,CMS,12.66
Nordson Corporation,193,NDSN,12.63
Boston Scientific,194,BSX,12.55
PTC Inc.,195,PTC,11.96
Humana,196,HUM,11.94
AES Corporation,197,AES,11.89
Albemarle Corporation,198,ALB,11.69
Franklin Resources,199,BEN,11.63
Trimble Inc.,200,TRMB,11.21
Synchrony Financial,201,SYF,11.17
Cigna,202,CI,11.12
Mettler Toledo,203,MTD,10.92
"Tesla, Inc.",204,TSLA,10.79
Freeport-McMoRan,205,FCX,10.79
Teradyne,206,TER,10.54
Yum! Brands,207,YUM,10.44
Solventum,208,SOLV,10.31
Travelers Companies (The),209,TRV,10.11
D. R. Horton,210,DHI,9.97
Hershey Company (The),211,HSY,9.96
Coca-Cola Company (The),212,KO,9.93
Cadence Design Systems,213,CDNS,9.71
Republic Services,214,RSG,9.42
Pinnacle West,215,PNW,9.39
Datadog,216,DDOG,9.38
Deere & Company,217,DE,9.14
Berkshire Hathaway,218,BRK.B,9.00
Visa Inc.,219,V,8.98
Crown Castle,220,CCI,8.94
General Motors,221,GM,8.88
Corteva,222,CTVA,8.81
Qualcomm,223,QCOM,8.74
Expeditors International,224,EXPD,8.73
Pentair,225,PNR,8.60
IQVIA,226,IQV,7.91
Linde plc,227,LIN,7.86
Cincinnati Financial,228,CINF,7.79
Textron,229,TXT,7.73
Mohawk Industries,230,MHK,7.65
Mastercard,231,MA,7.56
Expand Energy,232,EXE,7.38
Hewlett Packard Enterprise,233,HPE,7.12
Vici Properties,234,VICI,6.85
Waste Management,235,WM,6.74
American International Group,236,AIG,6.72
Chevron Corporation,237,CVX,6.66
Agilent Technologies,238,A,6.45
Raymond James Financial,239,RJF,6.21
McDonald's,240,MCD,6.17
DuPont,241,DD,6.16
Stryker Corporation,242,SYK,5.88
Intuit,243,INTU,5.77
NXP Semiconductors,244,NXPI,5.76
Sempra,245,SRE,5.70
Hilton Worldwide,246,HLT,5.62
Willis Towers Watson,247,WTW,5.37
American Tower,248,AMT,5.27
Cintas,249,CTAS,5.27
Emerson Electric,250,EMR,5.18
Mondelez International,251,MDLZ,5.16
Aflac,252,AFL,5.15
Lilly (Eli),253,LLY,4.79
ExxonMobil,254,XOM,4.77
Apple Inc.,255,AAPL,4.72
CoStar Group,256,CSGP,4.71
Thermo Fisher Scientific,257,TMO,4.54
Sysco,258,SYY,4.50
United Airlines Holdings,259,UAL,4.32
T-Mobile US,260,TMUS,4.24
Intercontinental Exchange,261,ICE,4.21
Tractor Supply,262,TSCO,4.20
Autodesk,263,ADSK,4.19
Public Storage,264,PSA,4.13
Lockheed Martin,265,LMT,4.11
Ross Stores,266,ROST,4.09
Vertex Pharmaceuticals,267,VRTX,4.07
Ametek,268,AME,3.96
Simon Property Group,269,SPG,3.64
Booking Holdings,270,BKNG,3.49
Wabtec,271,WAB,3.44
Hubbell Incorporated,272,HUBB,3.05
TransDigm Group,273,TDG,2.71
Keysight Technologies,274,KEYS,2.56
Kellanova,275,K,2.56
Williams-Sonoma,276,WSM,2.51
Southwest Airlines,277,LUV,2.41
A. O. Smith,278,AOS,2.35
Regions Financial Corporation,279,RF,2.30
Costco,280,COST,2.17
Veralto,281,VLTO,2.09
Delta Air Lines,282,DAL,2.07
Broadridge Financial Solutions,283,BR,2.03
Verizon,284,VZ,2.03
Principal Financial Group,285,PFG,2.02
Edwards Lifesciences,286,EW,1.70
KeyCorp,287,KEY,1.40
Extra Space Storage,288,EXR,1.25
PepsiCo,289,PEP,1.04
NetApp,290,NTAP,1.00
Match Group,291,MTCH,0.83
Domino's,292,DPZ,0.76
Iron Mountain,293,IRM,0.68
Darden Restaurants,294,DRI,0.66
Walt Disney Company (The),295,DIS,0.55
Allstate,296,ALL,0.52
Kinder Morgan,297,KMI,0.44
Snap-on,298,SNA,0.41
Public Service Enterprise Group,299,PEG,0.40
Moody's Corporation,300,MCO,0.23
Truist Financial,301,TFC,0.16
Home Depot (The),302,HD,-0.03
Charles River Laboratories,303,CRL,-0.25
Hologic,304,HOLX,-0.31
Union Pacific Corporation,305,UNP,-0.32
Illinois Tool Works,306,ITW,-0.47
Fifth Third Bancorp,307,FITB,-1.14
Otis Worldwide,308,OTIS,-1.19
Amazon,309,AMZN,-1.33
U.S. Bancorp,310,USB,-1.53
News Corp (Class B),311,NWS,-1.61
Arthur J. Gallagher & Co.,312,AJG,-1.62
CF Industries,313,CF,-1.63
Lamb Weston,314,LW,-1.74
Lowe's,315,LOW,-1.84
Paycom,316,PAYC,-1.89
Assurant,317,AIZ,-1.91
Regency Centers,318,REG,-2.33
Devon Energy,319,DVN,-2.44
Gen Digital,320,GEN,-2.48
Digital Realty,321,DLR,-2.49
Sherwin-Williams,322,SHW,-2.56
APA Corporation,323,APA,-2.60
Huntington Bancshares,324,HBAN,-2.64
